,Variable,Coefficient,P-value
255,C(COMPANY_ID)[T.2248],-29208743034.07366,0.3417100073698155
256,C(COMPANY_ID)[T.2249],8719727974.426394,0.341710007256932
257,C(COMPANY_ID)[T.2252],-4866746735.077116,0.341710007534889
258,C(COMPANY_ID)[T.2256],-5490601994.923876,0.3417100073862972
259,C(COMPANY_ID)[T.2259],417175054.564855,0.3417100073921009
260,C(COMPANY_ID)[T.2260],417175056.0104296,0.341710005719449
261,C(COMPANY_ID)[T.2261],417175055.0200659,0.3417100068654553
262,C(COMPANY_ID)[T.2267],417175056.8200828,0.3417100047813144
263,C(COMPANY_ID)[T.2269],0.345686261249824,0.2082403672120809
264,C(COMPANY_ID)[T.2274],-1471402737.8401213,0.3417100073511977
265,C(COMPANY_ID)[T.2275],417175054.89622545,0.3417100070088279
266,C(COMPANY_ID)[T.2288],417175054.9950535,0.3417100068940354
267,C(COMPANY_ID)[T.2289],-4866746735.503548,0.34171000749262115
268,C(COMPANY_ID)[T.2295],-29208743034.597237,0.34171000736115076
269,C(COMPANY_ID)[T.2296],613345566.5366554,0.3417100055391341
270,C(COMPANY_ID)[T.2302],613345563.9440632,0.341710007579905
271,C(COMPANY_ID)[T.2305],1672273399.4809752,0.3417100074526682
272,C(COMPANY_ID)[T.2306],1672273400.0167813,0.3417100072981406
273,C(COMPANY_ID)[T.2308],-4173102895.6166573,0.3417100077553631
274,C(COMPANY_ID)[T.2309],0.13997195349564212,0.6469621977182273
275,C(COMPANY_ID)[T.2312],-1471402734.2827363,0.34171000851793887
276,C(COMPANY_ID)[T.2314],613345564.6946144,0.34171000698905685
277,C(COMPANY_ID)[T.2316],-4866746739.791918,0.3417100070672179
278,C(COMPANY_ID)[T.2320],-1076658044.1571946,0.3417100075970262
279,C(COMPANY_ID)[T.2321],-4866746736.623087,0.3417100073815291
280,C(COMPANY_ID)[T.2324],417175056.01851964,0.34171000570890253
281,C(COMPANY_ID)[T.2325],1368227404.098565,0.3417100073810878
282,C(COMPANY_ID)[T.2330],-1076658042.0344317,0.341710008549153
283,C(COMPANY_ID)[T.2331],417175054.45595765,0.3417100075187206
284,C(COMPANY_ID)[T.2335],-0.36212751383217734,0.33451773515547245
285,C(COMPANY_ID)[T.2336],2112027719.8645315,0.34171000793024864
286,C(COMPANY_ID)[T.2340],1672273397.7851987,0.34171000794224926
287,C(COMPANY_ID)[T.2341],1672273398.649848,0.3417100076926338
288,C(COMPANY_ID)[T.2342],-4866746736.219608,0.3417100074215713
289,C(COMPANY_ID)[T.2343],-4173102898.284724,0.34171000744688773
290,C(COMPANY_ID)[T.2344],417175053.5275376,0.34171000859248857
291,C(COMPANY_ID)[T.2347],613345566.2508137,0.34171000576405286
292,C(COMPANY_ID)[T.2348],-29208743037.251053,0.34171000731735135
293,C(COMPANY_ID)[T.2356],-0.1825261642759437,0.6586603717132062
294,C(COMPANY_ID)[T.2359],-29208743033.554924,0.34171000737838475
295,C(COMPANY_ID)[T.2361],42391490408.40781,0.3417100074549606
296,C(COMPANY_ID)[T.2362],613345564.7093608,0.3417100069776494
297,C(COMPANY_ID)[T.2364],613345564.211894,0.3417100073685997
298,C(COMPANY_ID)[T.2365],-1.6395283204685458,3.1454250420329994e-08
299,C(COMPANY_ID)[T.2366],613345564.5755005,0.3417100070828708
300,C(COMPANY_ID)[T.2367],613345563.6361985,0.3417100078217019
301,C(COMPANY_ID)[T.2370],-1.7522264447991374,3.3594860767117596e-09
302,C(COMPANY_ID)[T.2371],-1471402738.1887784,0.34171000723669
303,C(COMPANY_ID)[T.2372],417175052.6760049,0.34171000957736497
304,C(COMPANY_ID)[T.2382],-4866746736.955662,0.3417100073485334
305,C(COMPANY_ID)[T.2383],1.2471549334840866,0.0018864578269515006
306,C(COMPANY_ID)[T.2387],-1471402736.1514506,0.34171000790522066
307,C(COMPANY_ID)[T.2391],135497076372.22214,0.3417100073812801
308,C(COMPANY_ID)[T.2398],2846990703.9787188,0.3417100074494711
309,C(COMPANY_ID)[T.240],-20863718.94925937,0.34171000738105994
310,C(COMPANY_ID)[T.2400],417175054.89718544,0.34171000700724263
311,C(COMPANY_ID)[T.2402],-4173102899.237318,0.3417100073365147
312,C(COMPANY_ID)[T.2404],-4866746735.668228,0.3417100074762568
313,C(COMPANY_ID)[T.2405],417175053.2048631,0.34171000896522186
314,C(COMPANY_ID)[T.2406],417175052.7720815,0.34171000946629826
315,C(COMPANY_ID)[T.2408],1672273400.7211642,0.3417100070946476
316,C(COMPANY_ID)[T.2410],417175054.56078136,0.34171000739612156
317,C(COMPANY_ID)[T.2411],-29208743032.99814,0.34171000738746626
318,C(COMPANY_ID)[T.2421],-29208743034.53579,0.34171000736227597
319,C(COMPANY_ID)[T.2422],417175056.2581806,0.3417100054337525
320,C(COMPANY_ID)[T.2423],417175054.5552641,0.34171000740254875
321,C(COMPANY_ID)[T.2424],-29208743033.15724,0.3417100073849414
322,C(COMPANY_ID)[T.2425],613345567.2047172,0.3417100050131626
323,C(COMPANY_ID)[T.2427],-4866746736.3571,0.341710007407931
324,C(COMPANY_ID)[T.243],-29208743034.11772,0.34171000736910506
325,C(COMPANY_ID)[T.2431],417175056.0027695,0.3417100057278022
326,C(COMPANY_ID)[T.2432],-29208743034.508102,0.34171000736262924
327,C(COMPANY_ID)[T.2433],135497076373.35901,0.34171000737722146
328,C(COMPANY_ID)[T.2434],-4866746737.684591,0.3417100072762691
329,C(COMPANY_ID)[T.2441],-4866746736.247679,0.3417100074188466
330,C(COMPANY_ID)[T.2445],417175051.6828724,0.34171001072627094
331,C(COMPANY_ID)[T.2446],-4866746735.73377,0.34171000746980607
332,C(COMPANY_ID)[T.2447],-4866746735.026314,0.3417100075399543
333,C(COMPANY_ID)[T.2449],-29208743032.171234,0.3417100074012762
334,C(COMPANY_ID)[T.2450],135497076370.46594,0.341710007387494
335,C(COMPANY_ID)[T.2451],-29208743034.058647,0.34171000737012114
336,C(COMPANY_ID)[T.2453],417175052.91930366,0.3417100092960088
337,C(COMPANY_ID)[T.2454],1672273398.4475088,0.3417100077510433
338,C(COMPANY_ID)[T.2455],-4866746736.093214,0.341710007434085
339,C(COMPANY_ID)[T.2464],-4866746737.913015,0.34171000725358736
340,C(COMPANY_ID)[T.2477],417175054.5550554,0.34171000740312685
341,C(COMPANY_ID)[T.2478],613345562.6741796,0.341710008579875
342,C(COMPANY_ID)[T.2484],417175055.05713034,0.341710006822354
343,C(COMPANY_ID)[T.2495],-1076658043.8290317,0.34171000774427795
344,C(COMPANY_ID)[T.2506],417175054.3593583,0.34171000762950576
345,C(COMPANY_ID)[T.2507],417175055.4162979,0.3417100064059887
346,C(COMPANY_ID)[T.2510],-4866746734.181143,0.34171000762377735
347,C(COMPANY_ID)[T.2514],-4866746735.2931,0.3417100075134919
348,C(COMPANY_ID)[T.2517],-29208743034.712585,0.3417100073592324
349,C(COMPANY_ID)[T.2518],3173357203.36909,0.3417100073644016
350,C(COMPANY_ID)[T.2520],-1471402738.5511346,0.3417100071178244
351,C(COMPANY_ID)[T.2523],8719727970.389431,0.3417100074804288
352,C(COMPANY_ID)[T.2525],-29208743032.881424,0.34171000738952684
353,C(COMPANY_ID)[T.2533],0.45870338292230317,0.468797576977078
354,C(COMPANY_ID)[T.2534],2846990706.8442335,0.34171000696363085
355,C(COMPANY_ID)[T.2535],-1076658044.035936,0.3417100076514996
356,C(COMPANY_ID)[T.2536],613345563.1617897,0.3417100081953357
357,C(COMPANY_ID)[T.2537],2112027722.398683,0.3417100073511159
358,C(COMPANY_ID)[T.2538],613345564.952256,0.341710006786326
359,C(COMPANY_ID)[T.2539],-6853817436.346401,0.3417100073323389
360,C(COMPANY_ID)[T.254],-1076658045.7764475,0.3417100068711424
361,C(COMPANY_ID)[T.2540],-4866746736.101711,0.34171000743329427
362,C(COMPANY_ID)[T.2541],-4866746738.553137,0.3417100071900806
363,C(COMPANY_ID)[T.2542],417175051.9973459,0.3417100103638784
364,C(COMPANY_ID)[T.2544],-4866746736.37919,0.34171000740582513
365,C(COMPANY_ID)[T.2545],417175053.5625433,0.34171000855325306
366,C(COMPANY_ID)[T.2548],1672273399.0169263,0.34171000758665493
367,C(COMPANY_ID)[T.2549],2.030402949500402,0.0012314875667582478
368,C(COMPANY_ID)[T.2553],417175055.26876473,0.34171000657715156
369,C(COMPANY_ID)[T.2555],-4866746737.114746,0.3417100073328242
370,C(COMPANY_ID)[T.2556],1672273399.1920862,0.34171000753609304
371,C(COMPANY_ID)[T.2558],-4866746736.748367,0.3417100073690823
372,C(COMPANY_ID)[T.2559],-4866746735.43302,0.3417100074995967
373,C(COMPANY_ID)[T.256],417175055.2319398,0.3417100066200768
374,C(COMPANY_ID)[T.2560],-1471402738.7461624,0.34171000705357946
375,C(COMPANY_ID)[T.2562],1.3304444661228447,5.273003105805619e-05
376,C(COMPANY_ID)[T.2567],613345564.8460331,0.34171000686968234
377,C(COMPANY_ID)[T.2568],-29208743032.80323,0.3417100073907835
